id,name,email,department,username,password,role,created_at
76,Prof. Shobha Iyer,teacher_16@ktu.ac.in,Mechanical Engineering,teacher_16,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:43
77,Dr. Rajesh Kumar,teacher_17@ktu.ac.in,Chemical Engineering,teacher_17,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:44
78,Prof. Rekha Menon,teacher_18@ktu.ac.in,Mechanical Engineering,teacher_18,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:44
79,Dr. Ravi Kumar,teacher_19@ktu.ac.in,Chemical Engineering,teacher_19,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:45
80,Dr. Sathish Kumar,teacher_20@ktu.ac.in,Information Technology,teacher_20,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:45
81,Prof. Lakshmi Iyer,teacher_21@ktu.ac.in,Computer Science and Engineering,teacher_21,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:46
82,Prof. Uma Krishnan,teacher_22@ktu.ac.in,Industrial Engineering,teacher_22,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:46
83,Dr. Kumar Raj,teacher_23@ktu.ac.in,Biotechnology,teacher_23,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:46
84,Dr. Venkatesh Iyer,teacher_24@ktu.ac.in,Civil Engineering,teacher_24,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:47
85,Dr. Suresh Nair,teacher_25@ktu.ac.in,Civil Engineering,teacher_25,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:47
86,Prof. Priya Menon,teacher_26@ktu.ac.in,Civil Engineering,teacher_26,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:48
87,Prof. Anjali Das,teacher_27@ktu.ac.in,Biotechnology,teacher_27,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:48
88,Dr. Manoj Nair,teacher_28@ktu.ac.in,Civil Engineering,teacher_28,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:49
89,Dr. Ravi Kumar,teacher_29@ktu.ac.in,Chemical Engineering,teacher_29,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:49
90,Prof. Deepa Krishnan,teacher_30@ktu.ac.in,Mechanical Engineering,teacher_30,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iKTVEFDa,ROLE_STAFF,2025-09-08 21:52:49
